key,en,es
Aceptar,Accept,Aceptar
Agrega enlaces al clip.,Add links to clip.,Agrega enlaces al clip.
Agregar,Add,Agregar
Agregar enlace,Add link,Agregar enlace
Aprobar,Approve,Aprobar
Atrás,Back,Atrás
Buscar clip,Search clip,Buscar clip
Busqueda:,Search,Busqueda:
Cancelar,Cancel,Cancelar
Clip vacío,Empty clip,Clip vacío
Compartir,Share,Compartir
Con esta llave se puede administrar el clip,This key allows to admin the clip,Con esta llave se puede administrar el clip
Con esta llave se pueden revocar las llaves de administración y seguridad.,This key allows to revoke the keys,Con esta llave se pueden revocar las llaves de administración y seguridad.
Crear,Create,Crear
Crear clip,Create clip,Crear clip
Eliminar,Remove,Eliminar
Escribe un título para el clip,Enter a title for the clip,Escribe un título para el clip
Favoritos,Favorites,Favoritos
Hecho,Done,Hecho
Idioma,Language,Idioma
Llave de administración,Admin key,Llave de administración
Llave de seguridad,Safe key,Llave de seguridad
Llaves,Keys,Llaves
"Los enlaces se ordenan por su prioridad, de mayor a menor, y por la fecha en la que han sido agregados.",The links are ordered by their priority and then by the addition date,"Los enlaces se ordenan por su prioridad, de mayor a menor, y por la fecha en la que han sido agregados."
Mostrar,Show,Mostrar
Ocultar,Hide,Ocultar
Olvidar,Forget,Olvidar
organiza las,organize the,organiza las
Prioridad,Priority,Prioridad
Ranking,Ranking,Ranking
Rechazar,Refuse,Rechazar
Recordar,Remember,Recordar
Siguiente,Next,Siguiente
Tienes que indicar un título para poder continuar,You need to add a title to continue,Tienes que indicar un título para poder continuar
Titulo,Title,Titulo
"Una vez creado el clip, no se podrá modificar su título ni su url.","After created, the title cannot be altered","Una vez creado el clip, no se podrá modificar su título ni su url."
Ver clip,View clip,Ver clip
Ya hay un clip con esa url,A clip exists with this url,Ya hay un clip con esa url
Ya hay un clip con ese título,A clip exists with this title,Ya hay un clip con ese título
redes,networks,redes
